순위,소환사,티어,LP,레벨,모스트 챔피언,승률
6503,"floura
#bloom",diamond 1,94,905,"나미, 룰루, 잔나","42승
54패
44%"
6504,"T1 Doran
#6star",diamond 1,94,990,"초가스, 탈리야, 사일러스","53승
44패
55%"
6505,"soju
#shlee",diamond 1,94,647,"카이사, 미스 포츈, 징크스","22승
20패
52%"
6506,"TheSplitDecision
#Split",diamond 1,94,802,"요릭, 우르곳, 사이온","88승
75패
54%"
6507,"Seigfried
#NA1",diamond 1,94,872,"신드라, 르블랑, 이렐리아","108승
89패
55%"
6508,"Kral Yüksekço
#3131",diamond 1,94,88,"렐, 파이크, 쓰레쉬","70승
74패
49%"
6509,"agedsilver
#000",diamond 1,94,294,"오른, 미스 포츈, 오로라","24승
27패
47%"
6510,"always try hard
#N7O3",diamond 1,94,339,"제이스, 리 신, 마오카이","44승
55패
44%"
6511,"kevin22703307064
#NA1",diamond 1,94,83,"신지드, 클레드, 나서스","48승
24패
67%"
6512,"RawwR
#rawr",diamond 1,94,472,"야스오, 요네, 탐 켄치","43승
45패
49%"
6513,"我很贱的别骂我
#8848",diamond 1,93,515,"아펠리오스, 제리, 갈리오","39승
47패
45%"
6514,"Wiederum
#NA1",diamond 1,93,717,"그라가스, 갱플랭크, 제이스","46승
39패
54%"
6515,"Munch Busch
#NA1",diamond 1,93,486,"요네, 볼리베어, 제라스","287승
247패
54%"
6516,"Kairogami
#NA1",diamond 1,93,469,"아칼리, 리븐, 오공","58승
60패
49%"
6517,"Gunabalan
#NA1",diamond 1,93,541,"트위스티드 페이트, 오리아나, 럭스","63승
61패
51%"
6518,"Capiche
#NA1",diamond 1,93,490,"룰루, 자이라, 나미","38승
29패
57%"
6519,"Hamilet
#NA1",diamond 1,93,398,"벡스, 오리아나, 스몰더","25승
22패
53%"
6520,"spongebobfan51
#NA1",diamond 1,93,199,"미스 포츈, 트위치, 럭스","167승
189패
47%"
6521,"i ruin men
#0001",diamond 1,93,190,"나미, 노틸러스, 밀리오","50승
30패
63%"
6522,"TECHNOVIKING21
#NA2",diamond 1,93,333,"엘리스, 그레이브즈, 탈리야","82승
70패
54%"
6523,"LeBron James
#0131",diamond 1,93,881,"제드, 요네, 블라디미르","88승
94패
48%"
6524,"Mbitious
#NA1",diamond 1,93,440,"조이, 르블랑, 오리아나","26승
24패
52%"
6525,"Reffect
#1002",diamond 1,92,459,"이렐리아, 제이스, 다리우스","36승
30패
55%"
6526,"Dohmaster
#NA1",diamond 1,92,481,"사미라, 카이사, 이즈리얼","31승
34패
48%"
6527,"Nivy
#NA1",diamond 1,92,530,"파이크, 소나, 쓰레쉬","50승
34패
60%"
6528,"Fluffy Pichu
#NA1",diamond 1,92,106,"유미, 멜, 조이","26승
18패
59%"
6529,"astreous
#NA1",diamond 1,92,596,"루시안, 제리, 카이사","73승
59패
55%"
6530,"NoPantz NoMap
#NA1",diamond 1,92,551,"사이온, 암베사, 럼블","55승
44패
56%"
6531,"babymonster
#423",diamond 1,92,94,"카르마, 케이틀린, 레오나","76승
60패
56%"
6532,"Nico Nico Kneee
#NA1",diamond 1,92,158,"가렌, 세트, 케일","33승
17패
66%"
6533,"Korean
#SUP",diamond 1,92,74,"바루스, 뽀삐, 그라가스","34승
21패
62%"
6534,"海绵宝宝
#003",diamond 1,91,465,"쓰레쉬, 노틸러스, 멜","24승
9패
73%"
6535,"Dinner
#NA1",diamond 1,91,721,"신 짜오, 렝가, 오공","21승
8패
72%"
6536,"Justin Baeber
#NA1",diamond 1,91,543,"이즈리얼, 빅토르, 카이사","81승
75패
52%"
6537,"zrenyaR
#NA1",diamond 1,91,182,"코르키, 미스 포츈, 징크스","17승
10패
63%"
6538,"Blackmage
#AHHHH",diamond 1,90,898,"비에고, 멜, 가렌","25승
26패
49%"
6539,"BrownCarnival
#NA1",diamond 1,90,536,"바루스, 징크스, 트리스타나","120승
112패
52%"
6540,"Rivelía
#NA1",diamond 1,90,170,"탈론, 제이스, 빅토르","58승
38패
60%"
6541,"sperging
#NA1",diamond 1,90,292,"아지르, 애니비아, 요네","105승
98패
52%"
6542,"Only Ban Lulu
#NA1",diamond 1,90,"1,062","리븐, 그라가스, 시비르","26승
19패
58%"
6543,"eemo
#NA1",diamond 1,90,483,"신지드, 오른, 잭스","89승
70패
56%"
6544,"Meet The Beast
#NA2",diamond 1,90,394,"신 짜오, 다리우스, 다이애나","122승
127패
49%"
6545,"Yozu
#Hwei",diamond 1,90,114,"럭스, 제라스, 오리아나","15승
4패
79%"
6546,"i like mages top
#NA1",diamond 1,90,253,"리산드라, 럭스, 아리","29승
23패
56%"
6547,"dearest
#viora",diamond 1,90,396,"흐웨이, 애쉬, 미스 포츈","80승
91패
47%"
6548,"pheobii
#folly",diamond 1,89,621,"룰루, 브라움, 나미","41승
47패
47%"
6549,"LePubis
#NA1",diamond 1,89,691,"바드, 진, 베인","127승
113패
53%"
6550,"Shoutoku
#NA1",diamond 1,89,181,"피즈, 레오나, 탈론","52승
43패
55%"
6551,"Łeejinñ
#NA1",diamond 1,89,897,"룰루, 카르마, 레오나","163승
152패
52%"
6552,"fudgefactor
#Fudge",diamond 1,89,65,"다리우스, 비에고, 이즈리얼","87승
49패
64%"
6553,"DarkChocoboMage
#NA1",diamond 1,88,562,"레넥톤, 뽀삐, 쉔","25승
26패
49%"
6554,"Shøwme
#NA1",diamond 1,88,792,"리 신, 갈리오, 그레이브즈","55승
53패
51%"
6555,"Dank Gan
#0000",diamond 1,88,482,"카시오페아, 신드라, 벡스","63승
56패
53%"
6556,"IllllllllllllllI
#III",diamond 1,88,39,"렝가, 제드, 그웬","68승
29패
70%"
6557,"Rannavriaspig
#NA1",diamond 1,88,248,"요네, 비에고, 스카너","36승
36패
50%"
6558,"Tusk4
#0714",diamond 1,88,376,"미스 포츈, 징크스, 트리스타나","72승
71패
50%"
6559,"Olipou
#ADC",diamond 1,88,656,"징크스, 애쉬, 코르키","74승
85패
47%"
6560,"Press R
#Vici",diamond 1,88,440,"피들스틱, 스웨인, 요릭","113승
106패
52%"
6561,"maie
#ˉˉˉ",diamond 1,87,694,"세라핀, 소라카, 나미","55승
16패
77%"
6562,"HoyeolB
#NA1",diamond 1,87,282,"이즈리얼, 그레이브즈, 다리우스","39승
22패
64%"
6563,"Valdanio
#NA1",diamond 1,87,864,"카르마, 알리스타, 판테온","133승
141패
49%"
6564,"DefinitlyNotAnko
#NA1",diamond 1,87,502,"킨드레드, 다이애나, 바이","61승
46패
57%"
6565,"Hobbit
#KING",diamond 1,87,662,"가렌, 말파이트, 쉔","69승
56패
55%"
6566,"mrmime
#mwi",diamond 1,87,832,"파이크, 흐웨이, 케이틀린","69승
72패
49%"
6567,"WONTONCHOPPA
#SWAG",diamond 1,87,221,"코르키, 바루스, 노틸러스","32승
17패
65%"
6568,"bloom
#jess",diamond 1,87,597,"룰루, 나미, 유미","25승
28패
47%"
6569,"Tim Lee
#NA 1",diamond 1,87,64,"아트록스, 문도 박사, 볼리베어","167승
135패
55%"
6570,"Bishop
#LOVE",diamond 1,87,149,"루시안, 카이사, 이즈리얼","31승
31패
50%"
6571,"Lucy
#die",diamond 1,87,79,"세나, 파이크, 렐","34승
28패
55%"
6572,"Eboy
#2247",diamond 1,87,210,"애니, 럼블, 베이가","33승
12패
73%"
6573,"ais
#miz",diamond 1,87,620,"샤코, 퀸, 갈리오","16승
4패
80%"
6574,"Shotty Knees
#NA1",diamond 1,86,168,"흐웨이, 오로라, 케이틀린","46승
40패
53%"
6575,"关得恩
#Akira",diamond 1,86,78,"케이틀린, 갱플랭크, 노틸러스","25승
12패
68%"
6576,"Harubon
#Candy",diamond 1,86,910,"카르마, 멜, 조이","24승
24패
50%"
6577,"我坤哥狠狠暴打原批
#ikun",diamond 1,86,855,"사일러스, 빅토르, 멜","76승
63패
55%"
6578,"bittergum
#NA1",diamond 1,86,343,"볼리베어, 다리우스, 가렌","60승
54패
53%"
6579,"Aniv
#NA1",diamond 1,86,282,"애니비아, 초가스, 신드라","41승
27패
60%"
6580,"NaturePhotonics
#2802",diamond 1,86,89,"녹턴, 이즈리얼, 다이애나","73승
40패
65%"
6581,"Notirt
#NA1",diamond 1,86,200,"크산테, 탈리야, 신드라","72승
57패
56%"
6582,"what the frick
#poopy",diamond 1,86,745,"트위치, 누누와 윌럼프, 베이가","34승
30패
53%"
6583,"hallucinate
#xo",diamond 1,86,641,"자이라, 베인, 카르마","193승
181패
52%"
6584,"bananaguns21
#NA1",diamond 1,85,599,"탈론, 렝가, 헤카림","53승
41패
56%"
6585,"Sariphi
#777",diamond 1,85,215,"카타리나, 아크샨, 제리","25승
16패
61%"
6586,"Ludens Echo
#Item",diamond 1,85,"1,460","조이, 멜, 자이라","16승
7패
70%"
6587,"酷酷的duck
#Mito",diamond 1,85,701,"오리아나, 빅토르, 쓰레쉬","16승
5패
76%"
6588,"Clizby
#NA1",diamond 1,85,496,"코르키, 징크스, 미스 포츈","28승
27패
51%"
6589,"Xpecial
#MRP",diamond 1,85,383,"뽀삐, 레오나, 렐","98승
80패
55%"
6590,"iris
#kat",diamond 1,85,244,"럭스, 카타리나, 케인","33승
35패
49%"
6591,"Boroppi
#NA1",diamond 1,85,148,"퀸, 럼블, 그라가스","151승
124패
55%"
6592,"要和珊珊睡觉觉
#shan",diamond 1,84,817,"엘리스, 루시안, 리븐","27승
12패
69%"
6593,"Zihong
#NA1",diamond 1,84,"1,082","진, 자야, 미스 포츈","27승
22패
55%"
6594,"Jam Jim
#NA1",diamond 1,84,584,"카밀, 신드라, 사일러스","29승
13패
69%"
6595,"Last Vayne Main
#K1SV",diamond 1,84,766,"베인, 징크스, 아리","44승
26패
63%"
6596,"ƒoręst
#NA1",diamond 1,84,569,"아무무, 초가스, 잔나","275승
292패
49%"
6597,"bive
#NA1",diamond 1,84,566,"애니, 초가스, 가렌","147승
102패
59%"
6598,"Zhan
#1126",diamond 1,84,38,"야스오, 요네, 멜","35승
11패
76%"
6599,"gatitow
#NA1",diamond 1,84,240,"진, 이즈리얼, 아펠리오스","37승
22패
63%"
6600,"Espira
#aery",diamond 1,84,248,"나미, 밀리오, 룰루","20승
16패
56%"
6601,"Darth Stubby
#na2",diamond 1,84,113,"그웬, 잭스, 판테온","29승
36패
45%"
6602,"ttv poaCeleste
#POA",diamond 1,84,567,"럭스, 세라핀, 신드라","28승
21패
57%"
6603,"GateKeeper60
#NA1",diamond 1,84,270,"판테온, 탈론, 다리우스","28승
32패
47%"
6604,"NightingaleZ
#NA1",diamond 1,83,324,"케이틀린, 벨베스, 카사딘","151승
114패
57%"
6605,"UncleMoon
#TOP",diamond 1,83,573,"알리스타, 마오카이, 세나","99승
93패
52%"
6606,"Slingin
#NA1",diamond 1,83,517,"신드라, 암베사, 레넥톤","75승
59패
56%"
6607,"Broobs26
#NA1",diamond 1,83,"1,170","아펠리오스, 루시안, 미스 포츈","57승
65패
47%"
6608,"DrkCloak
#NA1",diamond 1,83,672,"이즈리얼, 카이사, 탐 켄치","41승
27패
60%"
6609,"Truly
#6666",diamond 1,83,"1,458","루시안, 트린다미어, 블라디미르","34승
29패
54%"
6610,"MsTeemo
#tomo",diamond 1,83,"1,247","바루스, 흐웨이, 자야","74승
80패
48%"
6611,"shadowrestar
#NA1",diamond 1,83,863,"이즈리얼, 오공, 애쉬","42승
28패
60%"
6612,"sorakaing lul
#8202",diamond 1,83,62,"소라카, 질리언, 가렌","108승
81패
57%"
6613,"Artorias
#0518",diamond 1,83,660,"블라디미르, 아펠리오스, 자야","37승
29패
56%"
6614,"Sohee
#4444",diamond 1,83,122,"블리츠크랭크, 레오나, 룰루","30승
24패
56%"
6615,"smallmarch
#0722",diamond 1,83,696,"잭스, 오공, 레넥톤","131승
129패
50%"
6616,"Dulahan3
#NA1",diamond 1,82,238,"소나, 블리츠크랭크, 유미","79승
79패
50%"
6617,"Fishy Fizz
#Fizz",diamond 1,82,618,"미스 포츈, 케이틀린, 코르키","36승
39패
48%"
6618,"Ur LP Is Mine
#NA 1",diamond 1,82,908,"야스오, 제드, 아칼리","151승
154패
50%"
6619,"HuTaoRunMeOver
#car",diamond 1,82,"1,396","아크샨, 사일러스, 사미라","76승
91패
46%"
6620,"passive
#lolz",diamond 1,82,566,"드레이븐, 징크스, 카이사","108승
111패
49%"
6621,"LittleShrimp
#1234",diamond 1,82,673,"피들스틱, 그레이브즈, 비에고","37승
34패
52%"
6622,"Super Penguiny
#NA1",diamond 1,82,322,"티모, 렐, 브라움","247승
220패
53%"
6623,"Master Yi Jungle
#NA1",diamond 1,82,251,마스터 이,"49승
48패
51%"
6624,"黄风大圣
#yasuo",diamond 1,82,162,"야스오, 요네, 피오라","46승
27패
63%"
6625,"I Love LOL
#1628",diamond 1,82,403,"비에고, 오공, 에코","65승
59패
52%"
6626,"sadaharu
#coco",diamond 1,82,229,"스몰더, 바루스, 애쉬","19승
11패
63%"
6627,"Rysywocufy
#NA1",diamond 1,82,255,"아지르, 사일러스, 카이사","27승
24패
53%"
6628,"Saajsiel
#NA1",diamond 1,82,84,"리븐, 가렌, 다리우스","27승
24패
53%"
6629,"maldavius
#fgtre",diamond 1,82,436,"그웬, 리븐, 요네","52승
53패
50%"
6630,"CodyWasTiny
#NA1",diamond 1,82,675,"오공, 녹턴, 렝가","187승
171패
52%"
6631,"BigBeagle
#NA1",diamond 1,82,875,"미스 포츈, 노틸러스, 엘리스","32승
33패
49%"
6632,"dihchigo
#2000",diamond 1,81,782,"리븐, 케인, 카타리나","32승
37패
46%"
6633,"arik
#1x1",diamond 1,81,776,"탐 켄치, 오공, 스카너","52승
47패
53%"
6634,"D9 TEEN
#NA1",diamond 1,81,399,"엘리스, 판테온, 니코","38승
37패
51%"
6635,"Willie
#NA1",diamond 1,81,318,"피즈, 레넥톤, 킨드레드","26승
7패
79%"
6636,"Suey
#1996",diamond 1,81,"1,145","나미, 룰루, 세라핀","28승
18패
61%"
6637,"Rodprisold
#8723",diamond 1,81,45,"스카너, 다이애나, 카직스","29승
18패
62%"
6638,"sunbather
#000",diamond 1,81,62,"그레이브즈, 잭스, 니달리","48승
25패
66%"
6639,"GbrightG
#NA1",diamond 1,81,79,"마스터 이, 녹턴, 우디르","29승
26패
53%"
6640,"BoostedDonkey
#NA1",diamond 1,81,69,"스몰더, 킨드레드, 볼리베어","36승
20패
64%"
6641,"Duncan Voyles
#ECON",diamond 1,80,120,"라칸, 초가스, 판테온","30승
21패
59%"
6642,"The RulerKeeper
#NA1",diamond 1,80,682,"브랜드, 카르마, 아이번","166승
123패
57%"
6643,"呆呆呆呆呆呆呆呆呆呆呆呆呆呆呆呆
#XYB",diamond 1,80,560,"비에고, 아칼리, 자르반 4세","64승
67패
49%"
6644,"canipi
#NA1",diamond 1,80,501,"암베사, 럼블, 레넥톤","32승
32패
50%"
6645,"Sword Base
#123",diamond 1,80,280,"갈리오, 아지르, 다이애나","20승
17패
54%"
6646,"Hanu
#4629",diamond 1,80,381,"그레이브즈, 리 신, 신 짜오","22승
14패
61%"
6647,"Antonio Vivaldi
#NA1",diamond 1,80,560,"제드, 다리우스, 사일러스","50승
41패
55%"
6648,"dont type
#NA1",diamond 1,80,148,"블라디미르, 코르키, 카이사","29승
37패
44%"
6649,"Tea Lover
#NA1",diamond 1,80,245,"나미, 밀리오, 룰루","86승
68패
56%"
6650,"Humilis
#NA2",diamond 1,80,46,"흐웨이, 탈리야, 멜","75승
55패
58%"
6651,"HeartABlaze
#4112",diamond 1,80,555,"애쉬, 이즈리얼, 아펠리오스","84승
55패
60%"
6652,"poome1
#NA1",diamond 1,80,524,"뽀삐, 코르키, 바드","71승
50패
59%"
6653,"EpicJGamerFTW
#NA1",diamond 1,80,513,"럭스, 흐웨이, 신드라","53승
47패
53%"
6654,"꺼부렁꺼부렁
#꺼부렁",diamond 1,79,737,"요네, 아칼리, 이렐리아","45승
54패
45%"
6655,"TeemoYasuoMain
#NA1",diamond 1,79,126,"잔나, 벡스, 소라카","184승
180패
51%"
6656,"MilkyToast
#NA1",diamond 1,79,521,"미스 포츈, 카이사, 트위치","84승
58패
59%"
6657,"Knuckleshattered
#NA1",diamond 1,79,294,"크산테, 우르곳, 암베사","75승
82패
48%"
6658,"LeoSuks
#NA1",diamond 1,79,154,"판테온, 탈리야, 탈론","105승
97패
52%"
6659,"Jawkill
#NA1",diamond 1,79,341,"올라프, 탐 켄치, 다리우스","56승
56패
50%"
6660,"KoreanDaddy
#흥분한티모",diamond 1,79,594,"오로라, 바이, 아무무","100승
81패
55%"
6661,"chris
#NA96",diamond 1,79,548,"진, 아무무, 사일러스","35승
32패
52%"
6662,"Gengoro
#NA1",diamond 1,79,124,"제이스, 잭스, 탐 켄치","24승
24패
50%"
6663,"joops
#NA1",diamond 1,79,949,녹턴,"22승
13패
63%"
6664,"yidong 1997
#NA1",diamond 1,79,667,"케넨, 하이머딩거, 카르마","27승
21패
56%"
6665,"KwangWON
#NA1",diamond 1,79,998,"직스, 케이틀린, 코르키","217승
196패
53%"
6666,"RUNESCAPER420
#NA1",diamond 1,79,884,"아펠리오스, 코르키, 미스 포츈","204승
199패
51%"
6667,"Vayne1god
#NA1",diamond 1,79,218,"크산테, 요네, 피오라","56승
59패
49%"
6668,"Mesihtur
#2527",diamond 1,79,45,"칼리스타, 드레이븐, 징크스","68승
42패
62%"
6669,"opium
#0410",diamond 1,79,148,"암베사, 가렌, 크산테","35승
39패
47%"
6670,"eileenmmln
#NA1",diamond 1,79,46,"코르키, 케일, 제이스","78승
51패
60%"
6671,"renx
#300",diamond 1,79,77,"샤코, 헤카림, 카직스","61승
57패
52%"
6672,"VenoSlayer123
#NA1",diamond 1,79,638,"그레이브즈, 사이온, 비에고","42승
48패
47%"
6673,"Paradox
#IWNL",diamond 1,78,107,"트리스타나, 드레이븐, 카이사","166승
113패
59%"
6674,"yerty456
#NA1",diamond 1,78,805,"진, 징크스, 미스 포츈","192승
180패
52%"
6675,"Sweet babygirl
#baby",diamond 1,78,185,"밀리오, 소라카, 진","21승
12패
64%"
6676,"Jadeanh Ngo
#NA1",diamond 1,78,539,"암베사, 제이스, 그라가스","54승
39패
58%"
6677,"Qadar
#Riven",diamond 1,78,"1,191","리븐, 그웬, 카밀","61승
61패
50%"
6678,"Yungderfie
#razz",diamond 1,78,330,"베인, 칼리스타, 루시안","93승
95패
49%"
6679,"Iuminousity
#NA1",diamond 1,78,686,"세라핀, 나미, 럭스","39승
33패
54%"
6680,"TL Honda CoreJJ
#REAL",diamond 1,78,53,"노틸러스, 판테온, 레오나","68승
45패
60%"
6681,"GGBright
#NA1",diamond 1,78,54,"마스터 이, 우디르, 그레이브즈","29승
23패
56%"
6682,"Canyon
#Neko",diamond 1,78,193,"그레이브즈, 케인, 렝가","63승
64패
50%"
6683,"CCY
#NA1",diamond 1,78,755,"카르마, 레오나, 룰루","78승
66패
54%"
6684,"hyuna
#bun",diamond 1,77,144,"아리, 럭스, 룰루","19승
14패
58%"
6685,"Sourcewalker
#Faust",diamond 1,77,797,"마스터 이, 그웬, 판테온","68승
54패
56%"
6686,"Finding Leemo
#NA1",diamond 1,77,127,"판테온, 비에고, 신 짜오","23승
8패
74%"
6687,"kiet
#kenny",diamond 1,77,351,"자크, 타릭, 탈리야","31승
25패
55%"
6688,"TacoVaco
#1v9",diamond 1,77,805,"리 신, 키아나, 이즈리얼","107승
95패
53%"
6689,"Painters
#NA1",diamond 1,77,474,"탈리야, 진, 이즈리얼","52승
45패
54%"
6690,"lnor1
#NA1",diamond 1,77,656,"애쉬, 룰루, 진","68승
54패
56%"
6691,"Nagata88
#NA88",diamond 1,77,373,"드레이븐, 사미라, 트위치","52승
43패
55%"
6692,"Osmar
#NA1",diamond 1,77,"1,299","징크스, 자야, 다이애나","197승
201패
49%"
6693,"My Yobo
#0808",diamond 1,77,114,"갈리오, 흐웨이, 벡스","73승
59패
55%"
6694,"HighKeySavage
#NA1",diamond 1,77,436,"이즈리얼, 신드라, 빅토르","49승
44패
53%"
6695,"masterjay
#NA1",diamond 1,77,832,"렉사이, 다이애나, 케이틀린","70승
64패
52%"
6696,"OMg
#82664",diamond 1,77,54,"그레이브즈, 헤카림, 트린다미어","70승
61패
53%"
6697,"StoneGolden
#2013",diamond 1,77,626,"비에고, 신 짜오, 피즈","44승
45패
49%"
6698,"sixofour
#delta",diamond 1,77,76,"이렐리아, 카밀, 그레이브즈","181승
165패
52%"
6699,"lolkingCA
#NA1",diamond 1,77,185,"나미, 케이틀린, 이즈리얼","106승
96패
52%"
6700,"CORVUSSSSSSSS
#Corvy",diamond 1,77,180,"에코, 카사딘, 탈론","121승
134패
47%"
6701,"TazpanfiloBv
#NA1",diamond 1,77,121,"그레이브즈, 코그모, 헤카림","63승
56패
53%"
6702,"nonchalant mid
#NA2",diamond 1,76,141,"아리, 라이즈, 탈리야","46승
36패
56%"
6703,"Browning
#COMP",diamond 1,76,467,"벨베스, 비에고, 제드","31승
25패
55%"
6704,"linhboy
#NA1",diamond 1,76,328,"빅토르, 블라디미르, 에코","64승
60패
52%"
6705,"UnYun
#NA1",diamond 1,76,989,"브라움, 룰루, 아지르","62승
48패
56%"
6706,"Habin Edward III
#NA1",diamond 1,76,805,"신 짜오, 세트, 아트록스","35승
27패
56%"
6707,"Shaheer
#MSS",diamond 1,76,518,"리븐, 요네, 야스오","57승
51패
53%"
6708,"Volcarnia12
#NA1",diamond 1,76,312,"카르마, 브라움, 룰루","66승
51패
56%"
6709,"Oak
#4site",diamond 1,76,476,"애쉬, 코르키, 바루스","292승
311패
48%"
6710,"Buniior
#NA1",diamond 1,76,602,"카이사, 룰루, 파이크","96승
87패
52%"
6711,"NotCuriousGeorge
#NA1",diamond 1,76,715,"드레이븐, 진, 렝가","45승
41패
52%"
6712,"PillowTouch
#NA1",diamond 1,76,"1,045","징크스, 미스 포츈, 자야","68승
58패
54%"
6713,"딜서폿개꿀잼이네
#킬을먹으며",diamond 1,76,199,"르블랑, 니코, 제라스","57승
65패
47%"
6714,"Pownager22
#NA1",diamond 1,76,515,"리 신, 에코, 렉사이","63승
55패
53%"
6715,"Casper
#NA23",diamond 1,76,583,"다리우스, 나서스, 모데카이저","17승
10패
63%"
6716,"Kabuki
#RICE",diamond 1,76,96,"스몰더, 세나, 요네","46승
33패
58%"
6717,"TTV MJShowFizz
#Fizz",diamond 1,76,260,"피즈, 에코, 갈리오","42승
66패
39%"
6718,"Juney
#NA1",diamond 1,76,626,"룰루, 소나, 잔나","24승
28패
46%"
6719,"Albus NoX
#NA1",diamond 1,76,485,"피오라, 아트록스, 이렐리아","25승
20패
56%"
6720,"Fake Carry
#NA1",diamond 1,76,727,"닐라, 자야, 이렐리아","48승
35패
58%"
6721,"Cuddlebun
#NA1",diamond 1,76,883,"우르곳, 나르, 초가스","36승
24패
60%"
6722,"Suavey
#rawr",diamond 1,76,"1,643","세나, 케이틀린, 스몰더","192승
207패
48%"
6723,"Many Colors
#TROLL",diamond 1,76,131,"제이스, 그웬, 마오카이","67승
74패
48%"
6724,"生下來就死
#Die",diamond 1,76,49,"케인, 그레이브즈, 탈론","54승
45패
55%"
6725,"Setsuna
#0011",diamond 1,76,80,"드레이븐, 코르키, 아크샨","130승
112패
54%"
6726,"Shisen
#Wenmi",diamond 1,76,222,"야스오, 요네, 사일러스","41승
48패
46%"
6727,"케이팝
#0000",diamond 1,76,54,"리 신, 브라이어, 벨베스","29승
21패
58%"
6728,"Nvonneedmal
#NA1",diamond 1,76,70,"카르마, 바드, 엘리스","27승
22패
55%"
6729,"Hella Toes
#6282",diamond 1,76,152,"블라디미르, 볼리베어, 요릭","113승
107패
51%"
6730,"Apichi
#APCHY",diamond 1,76,130,"룰루, 나미, 세라핀","87승
86패
50%"
6731,"SeedChanV2
#Main",diamond 1,76,365,"뽀삐, 밀리오, 아무무","125승
104패
55%"
6732,"xwm
#4418",diamond 1,76,69,"제이스, 리븐, 잭스","124승
114패
52%"
6733,"PowerRusher
#NA1",diamond 1,76,72,"자크, 다이애나, 마스터 이","76승
66패
54%"
6734,"changli
#kuro",diamond 1,76,66,"트위치, 제리, 드레이븐","20승
17패
54%"
6735,"heart for brains
#993",diamond 1,76,316,"블라디미르, 신드라, 가렌","241승
209패
54%"
6736,"nuvole bianche
#piano",diamond 1,76,53,"탈론, 암베사, 렝가","79승
73패
52%"
6737,"bijin
#peach",diamond 1,75,565,"신 짜오, 잔나, 다이애나","106승
71패
60%"
6738,"LL Beast
#NA1",diamond 1,75,609,"흐웨이, 요네, 사일러스","54승
43패
56%"
6739,"Jin ke si
#1128",diamond 1,75,492,"징크스, 카이사, 시비르","85승
58패
59%"
6740,"whats9plus10ha21
#MSM",diamond 1,75,675,"블라디미르, 요네, 헤카림","68승
61패
53%"
6741,"airece2
#NA2",diamond 1,75,120,"자이라, 진, 카이사","42승
55패
43%"
6742,"Levon
#Papik",diamond 1,75,908,"야스오, 베이가, 블라디미르","110승
96패
53%"
6743,"JerryJX
#NA1",diamond 1,75,708,"아트록스, 그웬, 모데카이저","81승
96패
46%"
6744,"不喝椰奶
#TRT",diamond 1,75,464,"다이애나, 갈리오, 스카너","134승
126패
52%"
6745,"Nepali Import
#NA1",diamond 1,75,147,"리븐, 제이스, 사일러스","20승
16패
56%"
6746,"Yanny
#Pooo",diamond 1,75,124,"흐웨이, 크산테, 직스","23승
24패
49%"
6747,"Yong Le
#NA2",diamond 1,75,774,"비에고, 애니비아, 에코","63승
71패
47%"
6748,"purity yellow
#NA1",diamond 1,75,189,"뽀삐, 나피리, 바루스","124승
88패
58%"
6749,"cXkSara
#NA1",diamond 1,75,222,"라칸, 칼리스타, 자야","48승
49패
49%"
6750,"RengarScript
#NA1",diamond 1,75,571,"다이애나, 트런들, 신드라","33승
17패
66%"
6751,"Ya fue
#NA1",diamond 1,75,331,"징크스, 스몰더, 이즈리얼","36승
26패
58%"
6752,"TheePaint
#YUMMY",diamond 1,75,643,"세나, 카이사, 자이라","55승
62패
47%"
6753,"quav ntswg quav
#dev",diamond 1,75,309,"뽀삐, 렐, 바드","181승
178패
50%"
6754,"Ngọc Linh
#lynn",diamond 1,75,307,"이렐리아, 아트록스, 모데카이저","82승
77패
52%"
6755,"adc hunter
#NA1",diamond 1,75,120,"케인, 렝가, 릴리아","36승
20패
64%"
6756,"DudeBroMan13
#NA1",diamond 1,75,770,"알리스타, 레오나, 노틸러스","43승
45패
49%"
6757,"Glacial
#cold",diamond 1,75,"1,055","시비르, 스웨인, 닐라","112승
100패
53%"
6758,"Balanced
#100",diamond 1,75,568,"아트록스, 워윅, 크산테","54승
54패
50%"
6759,"SoloRenektonOnly
#SRO",diamond 1,75,326,"레넥톤, 카밀, 탈론","63승
63패
50%"
6760,"CapnBronzeBeard
#NA1",diamond 1,75,89,"아칼리, 말자하","48승
33패
59%"
6761,"OneManArmy
#31415",diamond 1,75,632,"볼리베어, 가렌, 사이온","33승
24패
58%"
6762,"PººP
#NA123",diamond 1,75,574,"루시안, 베인, 시비르","118승
109패
52%"
6763,"lil chorizo
#NA1",diamond 1,75,183,"코르키, 빅토르, 쓰레쉬","73승
61패
54%"
6764,"snoh
#2002",diamond 1,75,786,"아리, 멜, 카타리나","75승
66패
53%"
6765,"deep suppression
#NA1",diamond 1,75,289,"말자하, 카서스, 시비르","72승
74패
49%"
6766,"Reckza
#313",diamond 1,75,536,"드레이븐, 케이틀린, 트위치","38승
30패
56%"
6767,"Goooogler
#NA1",diamond 1,75,368,"카사딘, 신 짜오, 판테온","52승
35패
60%"
6768,"Lanse
#小蓝小蓝",diamond 1,75,346,"사일러스, 카타리나, 제이스","45승
55패
45%"
6769,"Actor
#CN1",diamond 1,75,807,"키아나, 아리, 야스오","97승
94패
51%"
